title,subtitle,link
CITY SLICKERS,Inside City's dressing room after Arsenal as Haaland and Grealish soak up win,https://www.thesun.co.uk/sport/22174544/man-city-arsenal-title-jack-grealish-erling-haaland/
LAMPED,Lampard's horror record revealed as Chelsea boss loses FIFTH straight Blues game,https://www.thesun.co.uk/sport/22174874/lampard-record-manager-chelsea-defeat/
DOUBLE GLAZING,Man Utd takeover update as Ratcliffe includes controversial Glazers promise,https://www.thesun.co.uk/sport/22172113/man-utd-takeover-update-sir-jim-ratcliffe-glazers/
FOREST SCARE,Neco Williams rushed to hospital after being stretchered off vs Brighton,https://www.thesun.co.uk/sport/22173412/neco-williams-hospital-nottingham-forest-brighton/
CHAMPS CHASE,Betting tips for Tottenham vs Man Utd: Premier League preview and best odds,https://www.thesun.co.uk/sport/22138348/betting-tips-tottenham-manchester-united-premier-league-preview/
ALL GUN WRONG,Horror stat shows how far off Man City Arsenal are after loss in title clash,https://www.thesun.co.uk/sport/22174719/man-city-arsenal-guardiola-arteta/
PIERS'D OFF,Raging Piers Morgan blasts 'spineless' Arsenal for 'embarrassing capitulation',https://www.thesun.co.uk/sport/22173221/piers-morgan-arsenal-man-city-ferdinand/
JUST NOT HAIR,Fans say Haaland found it all 'too easy' after seeing what he did vs Arsenal,https://www.thesun.co.uk/sport/22173336/erling-haaland-man-city-arsenal/
TOP 40,Football free bets: Get £40 bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/20695257/william-hill-free-bets-sign-up-bonus-offer-register/
FREE PLAY,1-2-Free: Win £100 in CASH if you correctly predict three scores with Ladbrokes,https://www.thesun.co.uk/sport/21084288/ladbrokes-free-bets-game-bonus-win-100-football/
FREE BETS,Best free bets & sign up offers for UK punters in April 2023,https://www.thesun.co.uk/betting/20812234/free-bets/
CHELSEA RATINGS,Sterling struggles against Brentford but Aubameyang shows threat off bench,https://www.thesun.co.uk/sport/22171786/chelsea-lose-ratings-sterling-aubameyang/
CAN'T TAKE ANY MAUR,Fans beg Pochettino to rescue season now and end 'inhumane torture',https://www.thesun.co.uk/sport/22172234/chelsea-fans-pochettino-season-own-goal-brentford/
BLUE MURDER,Lampard defends flops after FIFTH straight loss but has 'no problem' with boos,https://www.thesun.co.uk/sport/22173835/frank-lampard-chelsea-fans-booing/
BACK IN THE BIG TIME,Sheffield United seal promotion back to Prem at raucous Bramall Lane,https://www.thesun.co.uk/sport/22174024/sheffield-united-promoted-premier-league/
WEST HAM 1 LIVERPOOL 2,Matip's bullet header ends kit curse & sends Hammers closer to drop,https://www.thesun.co.uk/sport/22143068/west-ham-vs-liverpool-live-stream-tv-channel-watch-premier-league-online/
FOREST 3 BRIGHTON 1,Gibbs White penalty completes remarkable comeback for hosts,https://www.thesun.co.uk/sport/22142673/nottingham-forest-3-1-brighton-premier-league/
BLUE-LESS,Chelsea fans slam 'worst team we've ever seen' as Lampard goes ultra-defensive,https://www.thesun.co.uk/sport/22171301/chelsea-fans-react-team-brentford-lampard/
